Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "imu_b_03_12_2018.brd" as of: 3/29/2018 4:35:31 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C401,Top,0.450,0.400,0
C402,Top,0.464,0.457,0
C403,Top,0.609,0.591,0
C404,Top,0.610,0.640,0
D401,Top,0.610,0.545,270
L401,Top,0.580,0.410,180
P401,Top,0.450,0.300,0
R401,Top,0.270,0.400,180
R402,Top,0.270,0.460,180
R403,Top,0.611,0.501,180
R404,Top,0.610,0.690,180
U401,Top,0.451,0.597,90
