"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"JMP-2-NO-PTH";"JMP-2-NO-PTH-2.54";"BOOT, RST";"Two Terminal Jumper - Normally Open";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"D803";"LED";"";
"2";"";"WPAD-1-PTH";"WPAD-1-PTH-2.54";"BAT+, BAT-";"Wire Pad - Single";"";
"1";"0.1uF";"CAP0402-CAP";"0402-CAP";"C805";"Capacitor";"";
"1";"100n";"CAP0402-CAP";"0402-CAP";"C801";"Capacitor";"";
"6";"10k";"RESISTOR0402-TYP";"EIA-0402";"R801, R802, R803, R806, R808, R810";"Resistor";"";
"1";"1206L050YR";"1206L050YR";"1206LSERIES";"F801";"";"";
"1";"1k";"RESISTOR0402-TYP";"EIA-0402";"R805";"Resistor";"";
"3";"1uF";"CAP0402-CAP";"0402-CAP";"C802, C804, C806";"Capacitor";"";
"2";"220";"RESISTOR0402-TYP";"EIA-0402";"R804, R807";"Resistor";"";
"2";"28V-5A";"SMD-DIODE-SCHOTTKY-28V-5A(DO-214AA)";"DO-214AA";"D801, D802";"304020021";"";
"1";"44764-1201";"44764-1201";"44764-1201";"P803";"";"";
"1";"47u";"CAP_POLD";"PANASONIC_D";"C803";"Capacitor Polarized";"";
"2";"4k7";"RESISTOR0402-TYP";"EIA-0402";"R809, R811";"Resistor";"";
"1";"ESP-WROOM02";"ESP-WROOM02";"ESP-WROOM02";"U801";"Espressif ESP-WROOM-02  and AI-Thinker ESP-12 ESP8266 WiFi/WLAN Module";"";
"1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"P801";"Power Jack";"";
"1";"USB-B1HSB6";"USB-B1HSB6";"OST_USB-B1HSB6";"P802";"Conn Usb Type b r/a Black";"";
